legacy_row_id,created_at_raw,branch_name,employee_name,customer_name,phone,requested_car,payment_plan,attachments_raw,notes_raw,status,nickname,address,whatsapp_prefix,next_follow_up_raw,visit_count_raw,last_contact_raw,trade_in_raw
59,2026-05-18 17:03:45,معرض المعلم,المدير العام,حسن محمد موسى,0599989888,(طلب خاص) مازدا - موديل 2020,-,-,"[إدخال 18/05/2026 05:03 م بواسطة المدير العام]:
🚗 بخصوص [(طلب خاص) مازدا - موديل 2020]:
اتللتلت

[تحديث بيانات الاستبدال 18/05/2026 06:15 م بواسطة المدير العام]: سكودا تت | القير: اتوماتيك | السعر: -2$ | شاصي:",قيد المتابعة ⏳,-,-,970,-,2,2026-05-18 18:15:55,"{""specs"":"""",""active"":true,""edited"":true,""fuel"":""بنزين"",""gear"":""اتوماتيك"",""owner"":"""",""licenseExp"":"""",""condition"":""مستعملة"",""notes"":"""",""inspection"":"""",""color"":"""",""year"":"""",""dealType"":""استبدال"",""mileage"":"""",""model"":""سكودا تت"",""price"":""-2"",""id"":"""",""status"":""تحت الدراسة والتقييم""}"
60,2026-05-18 17:05:32,معرض المعلم,المدير العام,يسييس,0599933939,مازدا,-,-,"[إدخال سيارة للبيع 18/05/2026 05:05 م بواسطة المدير العام]:
السيارة: مازدا
القير: اتوماتيك | الوقود: بنزين
انتهاء الرخصة: -
ملاحظات: -
السعر المطلوب: 45680$",قيد المتابعة ⏳,-,-,970,-,1,2026-05-18 17:05:32,
61,2026-05-18 17:07:58,معرض المعلم,المدير العام,يسثصص,0598888888,Hyundai Santa Fe,-,-,"[إدخال 18/05/2026 05:07 م بواسطة المدير العام]:
🚗 بخصوص [Hyundai Santa Fe]:
بيبيبش
[تقييم استبدال 18/05/2026 05:07 م بواسطة المدير العام]: مازدا | السعر: $ | شاصي: 
[تم تسجيل سيارة الاستبدال برسم البيع باسم العميل 18/05/2026 05:07 م]: بنجاح",قيد المتابعة ⏳,-,-,970,-,1,2026-05-18 17:07:58,"{""owner"":""معرض المعلم"",""mileage"":"""",""inspection"":"""",""active"":true,""dealType"":""استبدال"",""condition"":""مستعملة"",""specs"":"""",""model"":""مازدا"",""color"":"""",""year"":"""",""status"":""تحت الدراسة والتقييم"",""price"":"""",""id"":""""}"
62,2026-05-18 18:19:59,معرض المعلم,المدير العام,فغتايبلللال,0500033939,مازدا,-,-,"[إدخال سيارة للبيع 18/05/2026 06:19 م بواسطة المدير العام]:
السيارة: مازدا
القير: اتوماتيك | الوقود: بنزين
انتهاء الرخصة: -
ملاحظات: -
السعر المطلوب: 56788$

🗂️ المستندات المرفقة بنجاح:
🔹 صور السيارة العامة:
🔹 شهادة الفحص الفني:
🔹 مستند الرخصة / السير:
🔹 وثيقة وبوليصة التأمين:",قيد المتابعة ⏳,-,-,970,-,1,2026-05-18 18:19:59,
63,2026-05-18 18:23:30,معرض المعلم,المدير العام,يسشييسش,0567899899,BMW X5,-,-,"[إدخال 18/05/2026 06:23 م بواسطة المدير العام]:
🚗 بخصوص [BMW X5]:
ؤئءؤءئؤ
[تقييم استبدال 18/05/2026 06:23 م بواسطة المدير العام]: سكودا اوكتافيا | السعر: $ | شاصي: 
[تم تسجيل سيارة الاستبدال برسم البيع باسم العميل 18/05/2026 06:23 م]: بنجاح

[تحديث سيارة العميل 21/05/2026 03:07 ص بواسطة المدير العام]: سكودا اوكتافيا | الحالة: تحت الدراسة والتقييم | شاصي: -",قيد المتابعة ⏳,ابو صقر,-,970,-,2,2026-05-21 03:07:55,"{""year"":"""",""color"":"""",""inspection"":"""",""id"":"""",""fuel"":""بنزين"",""edited"":true,""gear"":""اتوماتيك"",""condition"":""مستعملة"",""notes"":"""",""active"":true,""model"":""سكودا اوكتافيا"",""dealType"":""استبدال"",""owner"":"""",""status"":""تحت الدراسة والتقييم"",""licenseExp"":""2026-06-05"",""specs"":"""",""mileage"":"""",""price"":""""}"
64,2026-05-18 18:34:59,معرض المعلم,المدير العام,Alaa Zaured,0599870999,(طلب خاص) بيجو - موديل 2020,-,-,"[إدخال 18/05/2026 06:34 م بواسطة المدير العام]:
🚗 بخصوص [(طلب خاص) بيجو - موديل 2020]:
gjgggj

🗂️ المستندات المرفقة:
🔹 صور السيارة:
🔹 شهادة الفحص:
🔹 مستند الرخصة:
🔹 وثيقة التأمين:
[إدخال سيارة استبدال 18/05/2026 06:34 م بواسطة المدير العام]: سكودا اوكتافيا | القير: اتوماتيك | السعر: $ | شاصي:",قيد المتابعة ⏳,-,-,970,-,1,2026-05-18 18:34:59,"{""active"":true,""status"":""تحت الدراسة والتقييم"",""inspection"":"""",""model"":""سكودا اوكتافيا"",""gear"":""اتوماتيك"",""color"":"""",""id"":"""",""mileage"":"""",""specs"":"""",""year"":"""",""owner"":""معرض المعلم"",""price"":"""",""condition"":""مستعملة"",""licenseExp"":""2026-05-25"",""dealType"":""استبدال"",""notes"":"""",""fuel"":""بنزين""}"
65,2026-05-18 20:25:18,معرض الفورثنك,داود محمد عطية,ahmadd,0699993939,بيكانتو,-,-,"[إدخال سيارة للبيع 18/05/2026 08:25 م]: السيارة: بيكانتو | السعر: 7886868$

🗂️ المرفقات:
🔹 صور السيارة:
🔹 شهادة الفحص:
🔹 رخصة:
🔹 تأمين:",قيد المتابعة ⏳,-,-,970,-,1,2026-05-18 20:25:18,
66,2026-05-18 22:28:29,معرض المعلم,المدير العام,yousf zayed,0889033939,بيكانتو,-,-,"[إدخال سيارة للبيع 18/05/2026 10:28 م]: السيارة: erttertretre | السعر: 345355453$

🗂️ المرفقات:
🔹 صور السيارة:
🔹 شهادة الفحص:
🔹 رخصة:
🔹 تأمين:

[تحديث 18/05/2026 10:58 م بواسطة المدير العام]: 🚗 بخصوص [erttertretre]:
لثلبلب

[تم الترقية لعميل رئيسي]: العميل يرغب الآن بالشراء/الاستبدال.

[تحديث 18/05/2026 11:13 م بواسطة المدير العام]: 🚗 بخصوص [بيكانتو]:
قيب",قيد المتابعة ⏳,-,-,970,-,4,2026-05-18 23:13:09,
67,2026-05-18 23:14:18,معرض المعلم,المدير العام,موسى اسحاق,0539993939,Hyundai Santa Fe,-,-,"[إدخال سيارة للبيع 18/05/2026 11:14 م]: السيارة: بيكانتو | السعر: 6544334$

🗂️ المرفقات:
🔹 صور السيارة:
🔹 شهادة الفحص:
🔹 رخصة:
🔹 تأمين:

[تحديث استبدال 18/05/2026 11:16 م بواسطة المدير العام]: بيكانتو | شاصي: 
[تحديث 18/05/2026 11:16 م بواسطة المدير العام]: [تم الترقية لعميل رئيسي]: العميل يرغب الآن بالشراء/الاستبدال.",قيد المتابعة ⏳,-,-,970,2026-05-27 00:00:00,3,2026-05-20 21:24:20,"{""edited"":true,""year"":"""",""condition"":""مستعملة"",""id"":"""",""active"":true,""owner"":"""",""gear"":""اتوماتيك"",""status"":""تحت الدراسة والتقييم"",""price"":"""",""licenseExp"":"""",""notes"":"""",""color"":"""",""model"":""بيكانتو"",""dealType"":""استبدال"",""mileage"":"""",""fuel"":""بنزين"",""inspection"":"""",""specs"":""""}"
68,2026-05-18 23:17:25,معرض المعلم,المدير العام,ئشءؤيس,0529933339,سكودا  سوبير,-,-,[إدخال سيارة للبيع 18/05/2026 11:17 م]: السيارة: سكودا  سوبير | السعر: 32443434$,تم بيع السيارة ✅,-,-,970,-,2,2026-05-18 23:17:51,
69,2026-05-18 23:20:31,معرض المعلم,المدير العام,ئشءؤيس,0539933939,Kia Picanto,-,-,"[إدخال سيارة للبيع 18/05/2026 11:20 م]: السيارة: 3232 | السعر: 322332$

[تحديث استبدال 19/05/2026 04:57 م بواسطة المدير العام]: سكودا | شاصي: 
[تحديث 19/05/2026 04:57 م بواسطة المدير العام]: 🚗 بخصوص [Kia Picanto]:
سيييسسيسش

[تم التحويل لمشتري]: العميل يرغب الآن بالشراء/الاستبدال.",قيد المتابعة ⏳,-,-,970,-,2,2026-05-19 16:57:09,"{""color"":"""",""status"":""تحت الدراسة والتقييم"",""fuel"":""بنزين"",""condition"":""مستعملة"",""licenseExp"":"""",""specs"":"""",""dealType"":""استبدال"",""id"":"""",""active"":true,""year"":"""",""price"":"""",""owner"":"""",""gear"":""اتوماتيك"",""edited"":true,""model"":""سكودا"",""notes"":"""",""inspection"":"""",""mileage"":""""}"
70,2026-05-18 23:22:51,معرض المعلم,المدير العام,نورس,0539933939,سكودا,-,-,[إدخال سيارة للبيع 18/05/2026 11:22 م]: السيارة: سكودا | السعر: 544343$,السيارة معروضة 🏷️,-,-,970,-,1,2026-05-18 23:22:51,
71,2026-05-18 23:38:01,معرض المعلم,المدير العام,يسبيسسيشسششسسششس,0599993339,بيكانتو,-,-,[إدخال سيارة للبيع 18/05/2026 11:38 م]: السيارة: بيكانتو | السعر: 78908$,تم بيع السيارة ✅,-,-,970,-,2,2026-05-18 23:38:44,
72,2026-05-19 17:15:16,معرض المعلم,علاء داود زايد,hassan hassan,0594567567,دوج,-,-,"[إدخال سيارة للبيع 19/05/2026 05:15 م]: السيارة: دوج | السعر: 45797$

🗂️ المرفقات:
🔹 صور السيارة:
🔹 شهادة الفحص:
🔹 رخصة:
🔹 تأمين:",السيارة معروضة 🏷️,ابو صقر,الخليل,970,-,1,2026-05-19 17:15:16,
73,2026-05-19 21:06:52,معرض المعلم,علاء داود زايد,حسن موسى,0557890890,بيكانتو,-,-,"[إدخال سيارة للبيع 19/05/2026 09:06 م]: السيارة: بيكانتو | السعر: 878$

🗂️ المرفقات:
🔹 صور السيارة:
🔹 شهادة الفحص:
🔹 رخصة:
🔹 تأمين:",السيارة معروضة 🏷️,-,-,970,-,1,2026-05-19 21:06:52,
74,2026-05-19 21:22:26,معرض المعلم,علاء داود زايد,ahmadffdfd  zayed,0558989888,دوج,-,-,"[إدخال سيارة للبيع 19/05/2026 09:22 م]: السيارة: دوج | السعر: 67443$

🗂️ المرفقات:
🔹 صور السيارة:
🔹 شهادة الفحص:
🔹 رخصة:
🔹 تأمين:",السيارة معروضة 🏷️,-,-,970,-,1,2026-05-19 21:22:26,
75,2026-05-19 21:54:40,معرض المعلم,علاء داود زايد,محمد كامل العمrereer,0547890890,رينوا 4,-,-,"[إدخال سيارة للبيع 19/05/2026 09:54 م]: السيارة: رينوا 4  | السعر: 67888$

🗂️ المرفقات:
🔹 صور السيارة:
🔹 شهادة الفحص:
🔹 رخصة:
🔹 تأمين:",السيارة معروضة 🏷️,-,-,970,-,1,2026-05-19 21:54:40,
76,2026-05-19 23:17:09,معرض المعلم,علاء داود زايد,يبلبييبييب,0567830339,يسييييس,-,-,"[إدخال سيارة للبيع 19/05/2026 11:17 م]: السيارة: يسييييس | السعر: 456678$

🗂️ المرفقات:
🔹 صور السيارة:
🔹 شهادة الفحص:
🔹 رخصة:
🔹 تأمين:",السيارة معروضة 🏷️,-,-,970,-,1,2026-05-19 23:17:09,
77,2026-05-19 23:21:19,معرض المعلم,علاء داود زايد,يزيد القواسمه,0498989888,لبللبلب,-,-,"[إدخال سيارة للبيع 19/05/2026 11:21 م]: السيارة: لبللبلب | السعر: 54545454$

🗂️ المرفقات:
🔹 صور السيارة:
🔹 شهادة الفحص:
🔹 رخصة:
🔹 تأمين:

[تحديث استبدال 20/05/2026 10:49 م بواسطة علاء داود زايد]: لبللبلب | شاصي:",قيد المتابعة ⏳,-,-,970,-,3,2026-05-20 22:49:25,"{""color"":"""",""specs"":"""",""model"":""لبللبلب"",""gear"":""اتوماتيك"",""licenseExp"":"""",""dealType"":""استبدال"",""fuel"":""بنزين"",""inspection"":"""",""mileage"":"""",""owner"":"""",""condition"":""مستعملة"",""id"":"""",""edited"":true,""notes"":""تم تحويل هذا السجل من آلية البائع القديمة إلى بند سيارة العميل."",""active"":true,""status"":""شراء السيارة للمعرض"",""year"":"""",""price"":""""}"
78,2026-05-19 23:24:07,معرض المعلم,علاء داود زايد,قفبييبيب,0467890890,بيبيببييب,-,-,"[إدخال سيارة للبيع 19/05/2026 11:23 م]: السيارة: بيبيببييب | السعر: 43546$

🗂️ المرفقات:
🔹 صور السيارة:
🔹 شهادة الفحص:
🔹 رخصة:
🔹 تأمين:

[تحديث استبدال 20/05/2026 10:48 م بواسطة علاء داود زايد]: بيبيببييب | شاصي:",قيد المتابعة ⏳,-,-,970,-,2,2026-05-20 22:48:29,"{""price"":"""",""year"":"""",""fuel"":""بنزين"",""notes"":""تم تحويل هذا السجل من آلية البائع القديمة إلى بند سيارة العميل."",""edited"":true,""dealType"":""استبدال"",""gear"":""اتوماتيك"",""mileage"":"""",""active"":true,""model"":""بيبيببييب"",""color"":"""",""condition"":""مستعملة"",""inspection"":"""",""status"":""شراء السيارة للمعرض"",""id"":"""",""owner"":"""",""specs"":"""",""licenseExp"":""""}"
79,2026-05-20 01:53:22,الكل,المدير العام,Bbvvc,0567890876,Hhgf,-,-,"[إدخال سيارة للبيع 20/05/2026 01:52 ص]: السيارة: Hhgf | السعر: 7766$

🗂️ المرفقات:
🔹 صور السيارة:

[تحديث 20/05/2026 06:53 م بواسطة المدير العام]: [تم التحويل لبائع]: العميل يعرض سيارته للبيع.
[تم التحويل لمشتري]: العميل يرغب الآن بالشراء/الاستبدال.",تم بيع السيارة ✅,-,-,970,-,2,2026-05-20 18:53:48,
80,2026-05-20 02:32:27,معرض المعلم,علاء داود زايد,يزيد القواسمه,0457890890,سكودا,-,-,"[إدخال سيارة للبيع 20/05/2026 02:32 ص]: السيارة: سكودا | السعر: 67887$

🗂️ المرفقات:
🔹 صور السيارة:
🔹 شهادة الفحص:
🔹 رخصة:
🔹 تأمين:

[تحديث استبدال 20/05/2026 10:45 م بواسطة علاء داود زايد]: سكودا | شاصي:",قيد المتابعة ⏳,-,-,970,-,2,2026-05-20 22:45:36,"{""active"":true,""status"":""تراجع العميل عن البيع"",""color"":"""",""fuel"":""بنزين"",""specs"":"""",""inspection"":"""",""id"":"""",""notes"":""تم تحويل هذا السجل من آلية البائع القديمة إلى بند سيارة العميل."",""gear"":""اتوماتيك"",""mileage"":"""",""condition"":""مستعملة"",""edited"":true,""year"":"""",""owner"":"""",""price"":"""",""dealType"":""استبدال"",""licenseExp"":"""",""model"":""سكودا""}"
81,2026-05-20 03:11:21,معرض المعلم,علاء داود زايد,شمش,0267890890,Hhgf,-,-,"[إدخال 20/05/2026 03:11 ص بواسطة علاء داود زايد]:
🚗 بخصوص [Hhgf]:
يبيسيسيس
[إدخال سيارة استبدال 20/05/2026 03:11 ص بواسطة علاء داود زايد]: شمس | السعر: $ | شاصي:",قيد المتابعة ⏳,شمش,-,970,2026-05-20 00:00:00,1,2026-05-20 03:11:21,"{""id"":"""",""model"":""شمس"",""year"":"""",""gear"":""اتوماتيك"",""status"":""تحت الدراسة والتقييم"",""licenseExp"":"""",""price"":"""",""inspection"":"""",""fuel"":""بنزين"",""notes"":"""",""color"":"""",""owner"":"""",""specs"":"""",""dealType"":""استبدال"",""active"":true,""condition"":""مستعملة"",""mileage"":""""}"
82,2026-05-20 03:28:02,معرض المعلم,علاء داود زايد,اختبار حي,0367890890,حي,-,-,"[إدخال سيارة للبيع 20/05/2026 03:27 ص]: السيارة: حي | السعر: 34567$

🗂️ المرفقات:
🔹 صور السيارة:
🔹 شهادة الفحص:",تم بيع السيارة ✅,ابو حي,-,970,-,2,2026-05-20 20:15:38,
83,2026-05-20 03:29:35,معرض المعلم,علاء داود زايد,يزيد القواسمه,0767890890,شمس,-,-,"[إدخال 20/05/2026 03:29 ص بواسطة علاء داود زايد]:
🚗 بخصوص [شمس]:
للت

🗂️ المستندات المرفقة:
🔹 صور السيارة:
🔹 شهادة الفحص:
[إدخال سيارة استبدال 20/05/2026 03:29 ص بواسطة علاء داود زايد]: سكودا اوكتافيا | السعر: $ | شاصي:",قيد المتابعة ⏳,-,-,970,-,1,2026-05-20 03:29:35,"{""model"":""سكودا اوكتافيا"",""notes"":"""",""owner"":"""",""color"":"""",""dealType"":""استبدال"",""id"":"""",""fuel"":""بنزين"",""condition"":""مستعملة"",""price"":"""",""mileage"":"""",""active"":true,""year"":"""",""status"":""تحت الدراسة والتقييم"",""gear"":""اتوماتيك"",""specs"":"""",""inspection"":"""",""licenseExp"":""""}"
84,2026-05-20 03:43:06,معرض المعلم,علاء داود زايد,عميل جديد,0577890890,Peugeot 3008,-,"https://drive.google.com/file/d/1hLIPz0DJrrZE-Eh-tKxSOnKlfPBwB7-R/view?usp=drivesdk
https://drive.google.com/file/d/1C7n2G3HMyF82nj2G8FdNqgJtm3bIxRrV/view?usp=drivesdk
https://drive.google.com/file/d/1o2cOEx1D3ndV9zmS5Fah3WDhVfQCPTym/view?usp=drivesdk
https://drive.google.com/file/d/1jdgsHK9c7BHmXvxu3emRljHN_ND68edA/view?usp=drivesdk
https://drive.google.com/file/d/1omAN63feXfgjRHWnzOvlJbBnv8wd7d_2/view?usp=drivesdk","[إدخال 20/05/2026 03:42 ص بواسطة علاء داود زايد]:
🚗 بخصوص [Peugeot 3008]:
جميلة جدا

🗂️ المستندات المرفقة:
🔹 صور السيارة:
https://drive.google.com/file/d/1hLIPz0DJrrZE-Eh-tKxSOnKlfPBwB7-R/view?usp=drivesdk
[إدخال سيارة استبدال 20/05/2026 03:42 ص بواسطة علاء داود زايد]: مازدا 6 | السعر: $ | شاصي:

[تم إضافة مستندات جديدة 20/05/2026 03:50 ص]:
🔹 صور:
https://drive.google.com/file/d/1C7n2G3HMyF82nj2G8FdNqgJtm3bIxRrV/view?usp=drivesdk
🔹 فحص:
https://drive.google.com/file/d/1o2cOEx1D3ndV9zmS5Fah3WDhVfQCPTym/view?usp=drivesdk
🔹 رخصة:
https://drive.google.com/file/d/1jdgsHK9c7BHmXvxu3emRljHN_ND68edA/view?usp=drivesdk
🔹 تأمين:
https://drive.google.com/file/d/1omAN63feXfgjRHWnzOvlJbBnv8wd7d_2/view?usp=drivesdk",قيد المتابعة ⏳,-,-,970,2026-05-20 00:00:00,2,2026-05-20 03:50:43,"{""fuel"":""بنزين"",""inspection"":"""",""mileage"":"""",""notes"":"""",""dealType"":""استبدال"",""status"":""تحت الدراسة والتقييم"",""gear"":""اتوماتيك"",""owner"":"""",""model"":""مازدا 6"",""active"":true,""condition"":""مستعملة"",""id"":"""",""color"":"""",""year"":"""",""licenseExp"":"""",""price"":"""",""specs"":""""}"
85,2026-05-20 03:46:44,معرض المعلم,علاء داود زايد,عميل جديد2,0499087780,Hyundai Santa Fe,-,"https://drive.google.com/file/d/1azJY53zfpJE5KKoYM8Z3AlKVE_dOfP93/view?usp=drivesdk
https://drive.google.com/file/d/1LOPUU429QwqUBdLJlQp1FOBNffT4EEgP/view?usp=drivesdk
https://drive.google.com/file/d/1QaP4dhwrFR3dDaj_cVy24K4ImA6dxzRj/view?usp=drivesdk
https://drive.google.com/file/d/17k_d7rao9dkr2q0hbHZe-TWN-j7-i2dV/view?usp=drivesdk","[إدخال سيارة للبيع 20/05/2026 03:46 ص]: السيارة: رينوا 4  | السعر: 6768878786$

🗂️ المرفقات:
🔹 صور السيارة:
https://drive.google.com/file/d/1azJY53zfpJE5KKoYM8Z3AlKVE_dOfP93/view?usp=drivesdk
🔹 شهادة الفحص:
https://drive.google.com/file/d/1LOPUU429QwqUBdLJlQp1FOBNffT4EEgP/view?usp=drivesdk
🔹 رخصة:
https://drive.google.com/file/d/1QaP4dhwrFR3dDaj_cVy24K4ImA6dxzRj/view?usp=drivesdk
🔹 تأمين:
https://drive.google.com/file/d/17k_d7rao9dkr2q0hbHZe-TWN-j7-i2dV/view?usp=drivesdk

[تحديث 20/05/2026 03:26 م بواسطة علاء داود زايد]: 🚗 بخصوص [شمس]:
قلقلقل

[تم التحويل لمشتري]: العميل يرغب الآن بالشراء/الاستبدال.

[تحديث 20/05/2026 03:27 م بواسطة علاء داود زايد]: [تم التحويل لبائع]: العميل يعرض سيارته للبيع.

[تحديث 20/05/2026 03:28 م بواسطة علاء داود زايد]: [تم التحويل لبائع]: العميل يعرض سيارته للبيع.

[تحديث استبدال 20/05/2026 08:14 م بواسطة المدير العام]: عميل جديد2 | شاصي: 
[تحديث 20/05/2026 08:14 م بواسطة المدير العام]: 🚗 بخصوص [Hyundai Santa Fe]:
ضصضصثيش

[تم التحويل لمشتري]: العميل يرغب الآن بالشراء/الاستبدال.",قيد المتابعة ⏳,-,-,970,2026-05-20 00:00:00,5,2026-05-20 20:14:13,"{""id"":"""",""status"":""تحت الدراسة والتقييم"",""edited"":true,""condition"":""مستعملة"",""gear"":""اتوماتيك"",""specs"":"""",""price"":"""",""active"":true,""inspection"":"""",""notes"":"""",""year"":"""",""owner"":"""",""licenseExp"":"""",""color"":"""",""dealType"":""استبدال"",""mileage"":"""",""model"":""عميل جديد2"",""fuel"":""بنزين""}"
86,2026-05-20 15:44:47,معرض المعلم,علاء داود زايد,عبد المنعم مرقة,0598790032,مازدا 6,-,-,"[إدخال سيارة للبيع 20/05/2026 03:44 م]: السيارة: بيكانتوا | السعر: 6587834$

[تحديث استبدال 20/05/2026 03:46 م بواسطة علاء داود زايد]: بيكانتوا | شاصي: 
[تحديث 20/05/2026 03:46 م بواسطة علاء داود زايد]: [تم التحويل لمشتري]: العميل يرغب الآن بالشراء/الاستبدال.

[تحديث استبدال 20/05/2026 03:48 م بواسطة علاء داود زايد]: بيكانتوا | شاصي:

[تحديث استبدال 20/05/2026 03:49 م بواسطة علاء داود زايد]: بيكانتوا | شاصي:

[تحديث سيارة العميل 21/05/2026 12:34 ص بواسطة علاء داود زايد]: بيكانتوا | الحالة: تم بيع السيارة لعميل خارجي | شاصي: -
[إغلاق ملف العميل 21/05/2026 12:34 ص بواسطة علاء داود زايد]: تم بيع سيارة العميل لزبون خارجي. تم تحويل حالة العميل إلى (العميل غير فعال) مع حفظ السجل والمرفقات.",العميل غير فعال,ابو خليل,-,970,-,5,2026-05-21 00:34:10,"{""owner"":"""",""status"":""تم بيع السيارة لعميل خارجي"",""condition"":""مستعملة"",""price"":"""",""notes"":"""",""specs"":"""",""licenseExp"":"""",""dealType"":""استبدال"",""color"":"""",""fuel"":""بنزين"",""inspection"":"""",""id"":"""",""mileage"":"""",""gear"":""اتوماتيك"",""active"":false,""year"":"""",""edited"":true,""model"":""بيكانتوا"",""archived"":true,""closed"":true,""closedAt"":""21/05/2026 12:34 ص"",""closedBy"":""علاء داود زايد"",""closureReason"":""تم بيع سيارة العميل لزبون خارجي"",""previousStatus"":""تم بيع السيارة لعميل خارجي""}"
87,2026-05-20 17:08:10,معرض المعلم,علاء داود زايد,يسبسيرس,3444444444,Volkswagen Golf,-,-,"[إدخال 20/05/2026 05:08 م بواسطة علاء داود زايد]:
🚗 بخصوص [Volkswagen Golf]:
شسسشسشسشسس ؤيسؤيسؤيسييسيس

[رفض 20/05/2026 11:43 م بواسطة علاء داود زايد]: تم",الرفض من قبل العميل ❌,-,-,970,2026-05-20 00:00:00,2,2026-05-20 23:43:20,
88,2026-05-20 18:39:10,معرض المعلم,المدير العام,dsfds,0298989888,بيكانتوا,-,-,"[إدخال سيارة للبيع 20/05/2026 06:39 م]: السيارة: دوج vdk, | السعر: 235454$

[تحديث استبدال 20/05/2026 06:40 م بواسطة المدير العام]: دوج vdk, | شاصي: 
[تحديث 20/05/2026 06:40 م بواسطة المدير العام]: [تم التحويل لمشتري]: العميل يرغب الآن بالشراء/الاستبدال.",قيد المتابعة ⏳,ابو معتز,-,970,-,2,2026-05-20 18:40:46,"{""mileage"":"""",""active"":true,""notes"":"""",""dealType"":""استبدال"",""inspection"":"""",""specs"":"""",""edited"":true,""color"":"""",""licenseExp"":"""",""owner"":"""",""status"":""تم الاتفاق والاستبدال"",""year"":"""",""price"":"""",""condition"":""مستعملة"",""id"":"""",""gear"":""اتوماتيك"",""model"":""دوج vdk,"",""fuel"":""بنزين""}"
89,2026-05-20 19:24:47,معرض المعلم,المدير العام,qwwqeweweq,2212212212,مازدا 6,-,-,"[إدخال 20/05/2026 07:24 م بواسطة المدير العام]:
🚗 بخصوص [مازدا 6]:
2dddada",قيد المتابعة ⏳,ابو كلاي,-,970,2026-05-20 00:00:00,1,2026-05-20 19:24:47,
90,2026-05-20 20:20:59,معرض المعلم,المدير العام,عوني الرجبي,0398989888,سكودا 2006,-,-,"[إدخال 20/05/2026 08:20 م بواسطة المدير العام]:
🚗 بخصوص [سكودا 2006]:
يرجى تزويدنا بالاسعار",قيد المتابعة ⏳,-,-,970,2026-05-20 00:00:00,1,2026-05-20 20:20:59,
91,2026-05-20 20:24:10,معرض المعلم,المدير العام,محمود الاخضر,0518989888,Ford Fusion,كاش 💵,"https://drive.google.com/file/d/1NMbiRaiZQAAgf1Axmjh9kNk2hMFW8owl/view?usp=drivesdk
https://drive.google.com/file/d/1OfUuvrlY6tpbJ5qIM7_dYOcUfOZM6c47/view?usp=drivesdk
https://drive.google.com/file/d/1s31l6s4HrP2sfftQEQdjDnwjs7MqLFb7/view?usp=drivesdk
https://drive.google.com/file/d/1Z0K-4FsNRVm8Y9CH9do8FFuPnJ3MloKY/view?usp=drivesdk","[إدخال سيارة للبيع 20/05/2026 08:24 م]: السيارة: دوج | السعر: 4555545$

🗂️ المرفقات:
🔹 صور السيارة:
https://drive.google.com/file/d/1NMbiRaiZQAAgf1Axmjh9kNk2hMFW8owl/view?usp=drivesdk
🔹 شهادة الفحص:
https://drive.google.com/file/d/1OfUuvrlY6tpbJ5qIM7_dYOcUfOZM6c47/view?usp=drivesdk
🔹 رخصة:
https://drive.google.com/file/d/1s31l6s4HrP2sfftQEQdjDnwjs7MqLFb7/view?usp=drivesdk
🔹 تأمين:
https://drive.google.com/file/d/1Z0K-4FsNRVm8Y9CH9do8FFuPnJ3MloKY/view?usp=drivesdk

[تحديث استبدال 20/05/2026 08:34 م بواسطة المدير العام]: دوج | شاصي: 
[تحديث 20/05/2026 08:34 م بواسطة المدير العام]: 🚗 بخصوص [Ford Fusion]:
عغغغعغع عهغغعغ غغغغغ لالالالالا

[تم التحويل لمشتري]: العميل يرغب الآن بالشراء/الاستبدال.

[تحديث سيارة العميل 21/05/2026 03:21 ص بواسطة المدير العام]: دوج | الحالة: تم الاتفاق والاستبدال | شاصي: -
[إغلاق ملف العميل 21/05/2026 03:21 ص بواسطة المدير العام]: تمت صفقة استبدال. تم تحويل حالة العميل إلى (العميل غير فعال) مع حفظ السجل والمرفقات.",العميل غير فعال,-,-,970,-,4,2026-05-21 03:21:37,"{""owner"":"""",""status"":""تم الاتفاق والاستبدال"",""active"":false,""year"":"""",""licenseExp"":""2026-05-31"",""specs"":"""",""edited"":true,""id"":"""",""dealType"":""استبدال"",""notes"":"""",""gear"":""اتوماتيك"",""price"":"""",""model"":""دوج"",""inspection"":"""",""color"":"""",""condition"":""مستعملة"",""mileage"":"""",""fuel"":""بنزين"",""archived"":true,""closed"":true,""closedAt"":""21/05/2026 03:21 ص"",""closedBy"":""المدير العام"",""closureReason"":""تمت صفقة استبدال"",""previousStatus"":""تم الاتفاق والاستبدال""}"
92,2026-05-20 21:17:22,معرض المعلم,المدير العام,ahmad zayed,0398989899,عميل جديد2,-,-,"[إدخال 20/05/2026 09:17 م بواسطة المدير العام]:
🚗 بخصوص [عميل جديد2]:
fffdg",قيد المتابعة ⏳,dsdsdds,-,970,-,1,2026-05-20 21:17:22,
